condition,direction,R@1,R@5,R@10,MedR
original,A->T,0.2635814889336016,0.6680080482897385,0.8028169014084507,3.0
original,T->A,0.2535211267605634,0.6881287726358148,0.8269617706237424,3.0
highpass_1000Hz,A->T,0.1710261569416499,0.44668008048289737,0.6036217303822937,7.0
highpass_1000Hz,T->A,0.16700201207243462,0.4909456740442656,0.6398390342052314,6.0
lowpass_4000Hz,A->T,0.2635814889336016,0.6498993963782697,0.7947686116700201,3.0
lowpass_4000Hz,T->A,0.23340040241448692,0.6619718309859155,0.8028169014084507,3.0
noisy_snr10dB,A->T,0.2193158953722334,0.5855130784708249,0.7283702213279678,4.0
noisy_snr10dB,T->A,0.2655935613682093,0.6217303822937625,0.7867203219315896,4.0
pitch_shift,A->T,0.16498993963782696,0.44668008048289737,0.5835010060362174,7.0
pitch_shift,T->A,0.158953722334004,0.4647887323943662,0.641851106639839,6.0
